group,paper,gpt_directcore_total,qwen_directcore_total,delta_total_a_minus_b,gpt_directcore_repro,qwen_directcore_repro,delta_repro_a_minus_b,gpt_directcore_units,qwen_directcore_units,delta_units_a_minus_b
nat_protocols,s41596-019-0213-z,66.5,51.666666666666664,14.833333333333336,19.3,24.11111111111111,-4.81111111111111,10,9,1
nat_protocols,s41596-020-00441-w,62.4,51.0,11.399999999999999,22.6,28.6,-6.0,10,10,0
nat_protocols,s41596-020-00474-1,68.2,80.5,-12.299999999999997,18.5,9.9,8.6,10,10,0
nat_protocols,s41596-020-0379-4,57.3,63.7,-6.400000000000006,23.1,23.8,-0.6999999999999993,10,10,0
nat_protocols,s41596-021-00562-w,59.0,61.6,-2.6000000000000014,21.5,20.8,0.6999999999999993,10,10,0
nat_protocols,s41596-021-00603-4,57.4,58.1,-0.7000000000000028,28.4,20.5,7.899999999999999,10,10,0
nat_protocols,s41596-021-00629-8,59.9,58.1,1.7999999999999972,27.4,24.6,2.799999999999997,10,10,0
nat_protocols,s41596-023-00814-x,64.0,54.6,9.399999999999999,18.5,28.9,-10.399999999999999,10,10,0
nat_protocols,s41596-023-00827-6,55.7,56.2,-0.5,26.7,24.8,1.8999999999999986,10,5,5
nat_protocols,s41596-023-00880-1,55.1,64.9,-9.800000000000004,31.3,24.2,7.100000000000001,10,10,0
nat_protocols,s41596-023-00929-1,63.0,57.1,5.899999999999999,20.0,19.9,0.10000000000000142,10,10,0
nat_protocols,s41596-025-01197-x,60.7,71.2,-10.5,19.8,15.7,4.100000000000001,10,10,0
nat_protocols,s41596-025-01236-7,58.0,67.6,-9.599999999999994,24.0,21.5,2.5,10,10,0
nat_protocols,s41596-025-01299-6,64.0,63.1,0.8999999999999986,24.1,24.4,-0.29999999999999716,10,10,0
nat_siblings,s41467-020-19142-9,66.5,64.16666666666667,2.3333333333333286,17.25,25.166666666666668,-7.916666666666668,8,6,2
nat_siblings,s41467-021-27464-5,67.6,65.3,2.299999999999997,23.3,28.6,-5.300000000000001,10,10,0
nat_siblings,s41467-024-55567-2,65.2,55.6,9.600000000000001,21.3,25.0,-3.6999999999999993,10,10,0
nat_siblings,s41467-025-68247-6,56.9,46.7,10.199999999999996,22.2,28.2,-6.0,10,10,0
nat_siblings,s41586-018-0024-3,83.0,83.0,0.0,8.0,8.0,0.0,7,1,6
nat_siblings,s41586-019-1654-9,82.2,83.0,-0.7999999999999972,8.7,8.0,0.6999999999999993,10,1,9
nat_siblings,s41586-021-03209-8,65.66666666666667,68.4,-2.7333333333333343,21.555555555555557,16.2,5.355555555555558,9,10,-1
nat_siblings,s41586-023-06473-y,83.0,80.0,3.0,8.0,9.9,-1.9000000000000004,10,10,0
nat_siblings,s41586-023-06564-w,65.2,59.8,5.400000000000006,23.6,26.3,-2.6999999999999993,10,10,0
nat_siblings,s41586-024-08172-8,83.0,76.5,6.5,8.0,12.1,-4.1,10,10,0
nat_siblings,s41587-023-01718-7,78.0,75.5,2.5,12.2,11.3,0.8999999999999986,10,10,0
nat_siblings,s41587-023-01747-2,80.125,76.375,3.75,11.0,11.375,-0.375,9,8,1
nat_siblings,s41588-021-00972-2,79.66666666666667,83.0,-3.3333333333333286,11.11111111111111,8.0,3.1111111111111107,9,10,-1
nat_siblings,s41588-025-02182-6,83.0,83.0,0.0,8.0,8.0,0.0,10,7,3
nat_siblings,s41591-024-02807-z,75.6,78.9,-3.3000000000000114,14.5,9.7,4.800000000000001,10,10,0
nat_siblings,s41592-021-01344-8,71.4,62.714285714285715,8.68571428571429,15.3,17.714285714285715,-2.4142857142857146,10,7,3
nat_siblings,s41592-021-01391-1,77.3,81.4,-4.1000000000000085,14.4,10.1,4.300000000000001,10,10,0
nat_siblings,s41592-024-02555-5,83.0,83.0,0.0,8.0,9.3,-1.3000000000000007,10,10,0
nat_siblings,s41592-025-02927-5,75.6,76.75,-1.1500000000000057,13.6,14.125,-0.5250000000000004,10,8,2
nat_siblings,s41593-021-00923-4,83.0,83.0,0.0,8.0,8.0,0.0,5,1,4
