group,paper,gpt-oss-120b-v7_total,qwen3-next-80b-a3b-instruct-fp8-v7_total,delta_total_a_minus_b,gpt-oss-120b-v7_repro,qwen3-next-80b-a3b-instruct-fp8-v7_repro,delta_repro_a_minus_b,gpt-oss-120b-v7_units,qwen3-next-80b-a3b-instruct-fp8-v7_units,delta_units_a_minus_b
nat_protocols,s41596-019-0213-z,76.2,72.625,3.575000000000003,29.0,28.5,0.5,10,8,2
nat_protocols,s41596-020-00441-w,68.75,72.57142857142857,-3.8214285714285694,31.0,29.428571428571427,1.571428571428573,4,7,-3
nat_protocols,s41596-020-00474-1,73.11111111111111,67.125,5.986111111111114,25.444444444444443,17.375,8.069444444444443,9,8,1
nat_protocols,s41596-020-0379-4,75.9,72.1,3.8000000000000114,29.9,25.1,4.799999999999997,10,10,0
nat_protocols,s41596-021-00562-w,76.88888888888889,71.5,5.388888888888886,26.0,31.0,-5.0,9,4,5
nat_protocols,s41596-021-00603-4,81.2,79.4,1.7999999999999972,29.0,24.3,4.699999999999999,10,10,0
nat_protocols,s41596-021-00629-8,77.33333333333333,76.16666666666667,1.1666666666666572,24.5,24.833333333333332,-0.33333333333333215,6,6,0
nat_protocols,s41596-023-00814-x,73.1,66.0,7.099999999999994,33.7,23.1,10.600000000000001,10,10,0
nat_protocols,s41596-023-00827-6,78.2,70.0,8.200000000000003,28.4,18.555555555555557,9.844444444444441,10,9,1
nat_protocols,s41596-023-00880-1,69.3,76.9,-7.6000000000000085,24.9,25.9,-1.0,10,10,0
nat_protocols,s41596-023-00929-1,76.6,76.2,0.3999999999999915,24.9,27.8,-2.900000000000002,10,10,0
nat_protocols,s41596-025-01197-x,68.9,68.5,0.4000000000000057,19.5,26.4,-6.899999999999999,10,10,0
nat_protocols,s41596-025-01236-7,77.8,75.9,1.8999999999999915,24.8,28.1,-3.3000000000000007,10,10,0
nat_protocols,s41596-025-01299-6,77.2,74.71428571428571,2.4857142857142946,30.3,31.0,-0.6999999999999993,10,7,3
nat_siblings,s41467-020-19142-9,76.1,77.66666666666667,-1.566666666666677,26.3,28.11111111111111,-1.81111111111111,10,9,1
nat_siblings,s41467-021-27464-5,75.125,68.55555555555556,6.569444444444443,28.0,29.0,-1.0,8,9,-1
nat_siblings,s41467-024-55567-2,83.75,70.44444444444444,13.305555555555557,32.25,26.0,6.25,4,9,-5
nat_siblings,s41467-025-68247-6,76.85714285714286,73.8,3.057142857142864,30.428571428571427,29.0,1.428571428571427,7,10,-3
nat_siblings,s41586-018-0024-3,67.5,61.0,6.5,14.333333333333334,8.0,6.333333333333334,6,1,5
nat_siblings,s41586-019-1654-9,72.25,71.33333333333333,0.9166666666666714,25.125,30.333333333333332,-5.208333333333332,8,6,2
nat_siblings,s41586-021-03209-8,79.0,72.0,7.0,23.714285714285715,25.428571428571427,-1.7142857142857117,7,7,0
nat_siblings,s41586-023-06473-y,74.0,70.33333333333333,3.6666666666666714,25.0,30.0,-5.0,4,3,1
nat_siblings,s41586-023-06564-w,72.2,71.88888888888889,0.3111111111111171,25.6,25.555555555555557,0.04444444444444429,5,9,-4
nat_siblings,s41586-024-08172-8,69.33333333333333,65.44444444444444,3.8888888888888857,8.833333333333334,14.88888888888889,-6.055555555555555,6,9,-3
nat_siblings,s41587-023-01718-7,70.0,64.28571428571429,5.714285714285708,25.666666666666668,17.428571428571427,8.23809523809524,3,7,-4
nat_siblings,s41587-023-01747-2,79.0,64.28571428571429,14.714285714285708,42.0,15.142857142857142,26.857142857142858,1,7,-6
nat_siblings,s41588-021-00972-2,61.5,62.666666666666664,-1.1666666666666643,16.0,14.666666666666666,1.333333333333334,2,3,-1
nat_siblings,s41588-025-02182-6,66.0,67.25,-1.25,16.6,22.75,-6.149999999999999,5,4,1
nat_siblings,s41591-024-02807-z,65.5,61.8,3.700000000000003,16.333333333333332,13.0,3.333333333333332,6,5,1
nat_siblings,s41592-021-01344-8,68.83333333333333,63.4,5.43333333333333,14.333333333333334,13.0,1.333333333333334,6,5,1
nat_siblings,s41592-021-01391-1,79.0,75.66666666666667,3.3333333333333286,24.666666666666668,15.0,9.666666666666668,3,3,0
nat_siblings,s41592-024-02555-5,79.0,50.0,29.0,42.0,8.0,34.0,1,1,0
nat_siblings,s41592-025-02927-5,66.57142857142857,61.0,5.571428571428569,18.571428571428573,8.0,10.571428571428573,7,4,3
nat_siblings,s41593-021-00923-4,61.0,61.0,0.0,8.0,8.0,0.0,1,1,0
